tile,ra,dec,star_ra,star_dec,mag,radius,class,tileRA,tileDec,ra_transform,radist,decdist
11.4_-29.2,11.5293086827773,-28.794350508623,11.5191863922456,-28.8261047722777,9.59836292,3.05492111321551,2,11.4,-29.2,11.5293086827773,0.148133133694741,0.405649491376998
11.5_-30.2,11.5588449928052,-30.7251061567783,11.5543072037233,-30.6846129750907,9.21028137,3.05492111321551,2,11.5,-30.2,11.5588449928052,0.0680859752849215,0.5251061567783
11.5_-30.2,11.4436536653457,-30.7026741579614,11.4480120122624,-30.6637926871461,8.69302845,3.05492111321551,2,11.5,-30.2,11.4436536653457,0.0651949293522484,0.502674157961401
11.5_-30.2,10.9922907779856,-30.4367574132631,11.0326717856625,-30.4179267469919,8.91092873,3.05492111321551,2,11.5,-30.2,10.9922907779856,0.58743957461992,0.236757413263099
11.5_-30.2,11.6687991005711,-30.1901572959455,11.6551740068493,-30.1909517774609,6.42574358,3.10229489220006,2,11.5,-30.2,11.6687991005711,0.195307210379763,0.00984270405449905
11.5_-30.2,11.0511155838697,-30.1029771185515,11.0886991459031,-30.1111005136897,9.19017696,3.05492111321551,2,11.5,-30.2,11.0511155838697,0.519376956398116,0.097022881448499
11.7_-31.2,12.130962210634,-31.6527068387894,12.098120261149,-31.6182078159884,8.87871838,3.05492111321551,2,11.7,-31.2,12.130962210634,0.503834717799796,0.4527068387894
11.7_-31.2,12.2065406699147,-31.2458506112773,12.1673362116,-31.2423019359482,9.52962017,3.05492111321551,2,11.7,-31.2,12.2065406699147,0.592192932891129,0.0458506112773023
11.7_-31.2,11.6029804205633,-31.6504261740537,11.610528664592,-31.6153824571211,9.49388504,3.05492111321551,2,11.7,-31.2,11.6029804205633,0.113424869328178,0.4504261740537
11.7_-31.2,11.9414220909376,-31.3663185269376,11.9220713971969,-31.3529876057047,6.63292789,3.05492111321551,2,11.7,-31.2,11.9414220909376,0.282244772411111,0.166318526937602
11.7_-31.2,11.8873928186229,-31.1170504488357,11.8719082772872,-31.1239046909738,7.9174695,3.05492111321551,2,11.7,-31.2,11.8873928186229,0.219079551661109,0.082949551164301
11.7_-31.2,11.1484171917918,-31.4051821292746,11.1906339240679,-31.3894780157842,7.35107183,3.05492111321551,2,11.7,-31.2,11.1484171917918,0.644851362043927,0.205182129274601
11.7_-31.2,11.4711813047545,-30.6684111022025,11.4887295677412,-30.709179020092,7.6919508,3.05492111321551,2,11.7,-31.2,11.4711813047545,0.267510236168345,0.531588897797498
11.7_-31.2,12.0648545240591,-30.7283313946496,12.0368877635323,-30.7644856480959,9.21855831,3.05492111321551,2,11.7,-31.2,12.0648545240591,0.426548712697719,0.471668605350399
11.8_-32.1,11.9251861655432,-32.4877411506771,11.9153568869578,-32.4572967659285,9.02335453,3.05492111321551,2,11.8,-32.1,11.9251861655432,0.147778215134546,0.387741150677101
11.8_-32.1,12.008641152719,-32.3558149741951,11.9919283993273,-32.335323462708,8.58914757,3.05492111321551,2,11.8,-32.1,12.008641152719,0.246294125382314,0.255814974195097
11.8_-32.1,11.6851937451116,-32.2573993077588,11.6947626743938,-32.244280311355,8.79352283,3.05492111321551,2,11.8,-32.1,11.6851937451116,0.135525066688259,0.157399307758801
11.8_-32.1,11.51732918407,-32.0022226461135,11.5402819999598,-32.0101621484444,8.63661194,3.05492111321551,2,11.8,-32.1,11.51732918407,0.333683745863646,0.0977773538864994
11.8_-32.1,12.1227941502603,-31.5783323413153,12.098120261149,-31.6182078159884,8.87871838,3.05492111321551,2,11.8,-32.1,12.1227941502603,0.381048042923547,0.521667658684702
11.8_-32.1,11.5947629264024,-31.5750578703615,11.610528664592,-31.6153824571211,9.49388504,3.05492111321551,2,11.8,-32.1,11.5947629264024,0.242275720197092,0.5249421296385
11.9_-33.1,11.9854045195975,-33.4945930265308,11.9786982778259,-33.4636082935239,8.39139557,3.05492111321551,2,11.9,-33.1,11.9854045195975,0.101948921401735,0.394593026530799
11.9_-33.1,11.6048551224493,-33.1476923408881,11.6288904211806,-33.1438084867282,8.83947754,3.05492111321551,2,11.9,-33.1,11.6048551224493,0.352319784308255,0.0476923408880978
129.0_0.5,129.131915715544,0.0251843060328699,129.121694385408,0.0619748274788036,9.43681049,3.05492111321551,2,129,0.5,129.131915715544,0.131920738681512,0.47481569396713
129.0_0.5,128.78199729017,0.0755557855183514,128.798934245043,0.10853148803316,8.80821609,3.05492111321551,2,129,0.5,128.78199729017,0.218011011021265,0.424444214481649
129.0_0.5,128.669718539732,0.258641199595312,128.695682793242,0.277615019910641,9.13669968,3.05492111321551,2,129,0.5,128.669718539732,0.330294036852843,0.241358800404688
129.0_0.5,128.770630881701,0.350376342985534,128.789199392158,0.362489082749961,6.66193819,3.05492111321551,2,129,0.5,128.770630881701,0.229377852304753,0.149623657014466
129.0_0.5,129.243285361001,0.110959002887367,129.22433167829,0.141268099950304,9.01077938,3.05492111321551,2,129,0.5,129.243285361001,0.24329462491482,0.389040997112633
129.0_0.5,129.244563930968,0.361861321238322,129.224794100773,0.37302804648545,9.38764381,3.05492111321551,2,129,0.5,129.244563930968,0.244573243567714,0.138138678761678
129.0_0.5,129.162392408492,0.345249424408123,129.149048526174,0.357965372699621,9.43927288,3.05492111321551,2,129,0.5,129.162392408492,0.162398592132768,0.154750575591877
129.0_0.5,128.937824234903,0.846255508119656,128.942743734859,0.818858917914996,8.648242,3.05492111321551,2,129,0.5,128.937824234903,0.0621781326497765,0.346255508119656
129.0_0.5,129.314222755866,0.77378602979538,129.289457403328,0.75220768315634,9.13429451,3.05492111321551,2,129,0.5,129.314222755866,0.314234720961318,0.27378602979538
129.0_0.5,129.202106145967,0.904889426984055,129.186321719736,0.873267690487085,9.20956802,3.05492111321551,2,129,0.5,129.202106145967,0.202113841842794,0.404889426984055
129.0_0.5,128.568186540148,0.790410804761355,128.601831545735,0.767783272141234,9.23928928,3.05492111321551,2,129,0.5,128.568186540148,0.4318299026115,0.290410804761355
129.0_0.5,128.544343984443,0.867843179540201,128.579572049603,0.839404174995572,8.67363453,3.05492111321551,2,129,0.5,128.544343984443,0.455673366202521,0.367843179540201
129.0_1.5,128.510187444369,1.10300804855824,128.548586600513,1.13413047642601,8.76560402,3.05492111321551,2,129,1.5,128.510187444369,0.489980459697008,0.39699195144176
129.0_1.5,128.667664227619,1.48633315921771,128.687853974159,1.48716343412139,7.88478041,3.05492111321551,2,129,1.5,128.667664227619,0.332449694588205,0.01366684078229
129.0_1.5,128.785707002379,1.68693613649962,128.803509391268,1.67140641860696,9.37097645,3.05492111321551,2,129,1.5,128.785707002379,0.214366455651417,0.18693613649962
129.0_1.5,128.600838466366,1.6452389149188,128.634558523045,1.63296953515551,9.39835835,3.05492111321551,2,129,1.5,128.600838466366,0.399298363210359,0.1452389149188
129.0_1.5,129.187034877422,1.5080730036391,129.183925597305,1.50793879749505,8.93961811,3.05492111321551,2,129,1.5,129.187034877422,0.187098991573518,0.00807300363909991
129.0_1.5,129.146882897662,1.55232338467037,129.135299025638,1.5481969179304,8.38901711,3.05492111321551,2,129,1.5,129.146882897662,0.146933248016366,0.0523233846703699
